iter	RMSE
0	26.1044405
1	25.9315188
2	25.68045611
3	25.40465119
4	25.26306189
5	25.05339634
6	24.93754192
7	24.83207669
8	24.68110504
9	24.507929
10	24.42352788
11	24.26500191
12	24.0699979
13	23.97911812
14	23.81872836
15	23.66834406
16	23.49457404
17	23.37082511
18	23.24995837
19	23.083029
20	23.0162539
21	22.8918529
22	22.80420203
23	22.70318421
24	22.52368952
25	22.38321678
26	22.26560282
27	22.13246366
28	22.08965594
29	21.97031882
30	21.92536875
31	21.83351975
32	21.69014523
33	21.58240314
34	21.49640397
35	21.45001734
36	21.4046303
37	21.28252784
38	21.17144327
39	21.07711411
40	20.97574308
41	20.88783604
42	20.80181373
43	20.71907269
44	20.61612328
45	20.52861895
46	20.46003101
47	20.40140933
48	20.31114286
49	20.26921489
50	20.21407661
51	20.11496832
52	20.0712441
53	19.99737106
54	19.8974749
55	19.84891876
56	19.79648487
57	19.7587241
58	19.70653651
59	19.64195666
60	19.57608028
61	19.47971255
62	19.41152323
63	19.34500204
64	19.24655428
65	19.2219305
66	19.1336097
67	19.08490879
68	19.04897524
69	19.00247761
70	18.95447242
71	18.92041117
72	18.84876339
73	18.80287067
74	18.79156682
75	18.76041353
76	18.69598389
77	18.62137551
78	18.6129178
79	18.60154877
80	18.55950562
81	18.51364801
82	18.44963806
83	18.40825552
84	18.3912854
85	18.36356963
86	18.33507927
87	18.29687528
88	18.24262891
89	18.17581537
90	18.11691592
91	18.0973183
92	18.05795342
93	18.01055305
94	17.96483176
95	17.91633363
96	17.8615861
97	17.83049876
98	17.76644432
99	17.72982429
100	17.6920411
101	17.65879049
102	17.61072946
103	17.56830916
104	17.53788099
105	17.51330308
106	17.461383
107	17.4177735
108	17.38240974
109	17.32668414
110	17.28254868
111	17.24411368
112	17.161478
113	17.15242853
114	17.13727261
115	17.09141706
116	17.08337812
117	17.05562882
118	17.02611894
119	17.00642027
120	16.97394791
121	16.93190913
122	16.90336546
123	16.8659341
124	16.83070916
125	16.80406128
126	16.77923558
127	16.72382442
128	16.6858367
129	16.63237645
130	16.6040127
131	16.56767037
132	16.5355463
133	16.52774934
134	16.47380309
135	16.44238371
136	16.39376298
137	16.36194501
138	16.33952047
139	16.29160913
140	16.27431673
141	16.24773842
142	16.22685146
143	16.20023658
144	16.16173801
145	16.13824812
146	16.08257297
147	16.05924283
148	16.03057364
149	16.00864886
150	15.99068921
151	15.94996732
152	15.92489546
153	15.88963413
154	15.84717072
155	15.81949836
156	15.78896822
157	15.78196185
158	15.73280243
159	15.70951086
160	15.69435688
161	15.66727509
162	15.63713302
163	15.59102766
164	15.55855697
165	15.54429007
166	15.52408625
167	15.47149759
168	15.43923129
169	15.42230492
170	15.41555524
171	15.4014526
172	15.38562765
173	15.35303856
174	15.33818927
175	15.32614498
176	15.29500946
177	15.25922888
178	15.24239995
179	15.23090075
180	15.21444907
181	15.18736643
182	15.15979588
183	15.12936301
184	15.12032264
185	15.07536443
186	15.04686542
187	15.00704395
188	14.97527082
189	14.95565268
190	14.93364071
191	14.89938874
192	14.88154363
193	14.85431549
194	14.83289036
195	14.80591587
196	14.77012469
197	14.75233058
198	14.73678962
199	14.72042237
200	14.70762189
201	14.62994201
202	14.61580692
203	14.59501944
204	14.53799308
205	14.52245751
206	14.5013981
207	14.47264283
208	14.43913389
209	14.41281991
210	14.3952495
211	14.37096898
212	14.33779664
213	14.31006839
214	14.27412046
215	14.2302621
216	14.21213465
217	14.15585509
218	14.13699783
219	14.11550285
220	14.09542423
221	14.06435276
222	14.02745566
223	14.0053715
224	13.99061335
225	13.97382144
226	13.95301121
227	13.9355633
228	13.91968756
229	13.89961653
230	13.87485514
231	13.85165492
232	13.8352385
233	13.81925117
234	13.80435095
235	13.77228826
236	13.7412548
237	13.72504377
238	13.70718915
239	13.69011677
240	13.66254541
241	13.64875704
242	13.63035935
243	13.57993989
244	13.53129714
245	13.48414557
246	13.45310681
247	13.42042706
248	13.38797488
249	13.37267324
250	13.33167643
251	13.31959243
252	13.27523297
253	13.26051558
254	13.24980682
255	13.23520106
256	13.19408972
257	13.18432308
258	13.13955808
259	13.12499381
260	13.08441593
261	13.0709804
262	13.04646957
263	13.00749386
264	12.99667508
265	12.98126424
266	12.97225979
267	12.92404823
268	12.91356441
269	12.90108532
270	12.85455078
271	12.81706286
272	12.80849742
273	12.79647871
274	12.77210336
275	12.76260549
276	12.75095578
277	12.73856205
278	12.72316826
279	12.70942395
280	12.70135423
281	12.66604427
282	12.63902026
283	12.60448106
284	12.59364765
285	12.5838989
286	12.56921013
287	12.5419145
288	12.53266058
289	12.51225109
290	12.50484621
291	12.48519133
292	12.4599134
293	12.44986167
294	12.44122336
295	12.43332546
296	12.39684573
297	12.38580064
298	12.35401172
299	12.33501566
300	12.3274543
301	12.31740901
302	12.29629939
303	12.25452041
304	12.22421428
305	12.21595019
306	12.20341039
307	12.16132233
308	12.1320487
309	12.10965926
310	12.09933058
311	12.05851554
312	12.0498338
313	12.04154352
314	12.01556303
315	12.00778914
316	12.00079586
317	11.9932772
318	11.96347009
319	11.92405291
320	11.91569191
321	11.90844563
322	11.90137517
323	11.86863284
324	11.86166484
325	11.84210304
326	11.83493089
327	11.82793795
328	11.82028093
329	11.79290212
330	11.78324457
331	11.75170248
332	11.74512612
333	11.7364019
334	11.72703899
335	11.72069861
336	11.69420249
337	11.68784802
338	11.66730703
339	11.66100175
340	11.63595004
341	11.61117212
342	11.604148
343	11.59720252
344	11.57318753
345	11.56447788
346	11.5382908
347	11.51507377
348	11.49237447
349	11.48619519
350	11.46299715
351	11.45687899
352	11.45083196
353	11.44552307
354	11.43514892
355	11.42943152
356	11.3999086
357	11.37201089
358	11.35537874
359	11.32070156
360	11.29411052
361	11.273045
362	11.26786412
363	11.24432181
364	11.23665011
365	11.23216722
366	11.20700025
367	11.20128985
368	11.19056581
369	11.17076116
370	11.16324962
371	11.14296953
372	11.1190972
373	11.0976073
374	11.09017175
375	11.06934106
376	11.055029
377	11.04954234
378	11.04326508
379	11.03716164
380	11.00472572
381	10.98672886
382	10.98000384
383	10.96948145
384	10.94812691
385	10.9429188
386	10.91250488
387	10.89371104
388	10.88844751
389	10.86855139
390	10.85124984
391	10.83370432
392	10.81640918
393	10.81147915
394	10.80422013
395	10.79921102
396	10.79341153
397	10.77723846
398	10.75821918
399	10.74279246
400	10.7360074
401	10.73037855
402	10.71512525
403	10.70987065
404	10.69699324
405	10.6816683
406	10.6737409
407	10.66279057
408	10.65628838
409	10.64884357
410	10.64375605
411	10.63944849
412	10.61612802
413	10.5979627
414	10.58624938
415	10.56959377
416	10.5563615
417	10.55005038
418	10.54293391
419	10.52900065
420	10.52131692
421	10.50612413
422	10.50056772
423	10.4956368
424	10.49021978
425	10.47594665
426	10.47114323
427	10.4576135
428	10.44632192
429	10.44168134
430	10.41728458
431	10.4044501
432	10.39242606
433	10.38660211
434	10.38057209
435	10.37466427
436	10.36886887
437	10.35634458
438	10.35109313
439	10.32430236
440	10.30654394
441	10.30140624
442	10.29031169
443	10.28426342
444	10.27781332
445	10.27266986
446	10.25903371
447	10.24388559
448	10.23893608
449	10.22574903
450	10.2119012
451	10.20158321
452	10.19127728
453	10.1815083
454	10.16231113
455	10.15488191
456	10.14216497
457	10.1332713
458	10.12076998
459	10.09660294
460	10.08565773
461	10.06773727
462	10.06110155
463	10.0506412
464	10.04649507
465	10.03514608
466	10.03016139
467	10.02093299
468	10.01631052
469	10.00611542
470	9.982785921
471	9.977844722
472	9.964246509
473	9.951629358
474	9.940647314
475	9.919532167
476	9.915607923
477	9.906870936
478	9.903060655
479	9.891139444
480	9.883741393
481	9.875031108
482	9.863701919
483	9.855063124
484	9.84107239
485	9.830069847
486	9.823562321
487	9.801402656
488	9.797663503
489	9.793554886
490	9.785082971
491	9.781413318
492	9.770437236
493	9.76516327
494	9.759706024
495	9.748282154
496	9.731774901
497	9.72843597
498	9.71812898
499	9.714841604
500	9.708020094
501	9.692154111
502	9.683564487
503	9.674645383
504	9.654375662
505	9.646109979
506	9.637005765
507	9.633156444
508	9.617598384
509	9.600715248
510	9.587771662
511	9.583470491
512	9.57132798
513	9.563557985
514	9.556164543
515	9.5530395
516	9.549956615
517	9.545083022
518	9.537480915
519	9.530614472
520	9.527643458
521	9.523271701
522	9.520359023
523	9.50639021
524	9.50341111
525	9.493585383
526	9.487540246
527	9.472022177
528	9.451880729
529	9.446383994
530	9.434208452
531	9.431665316
532	9.41217523
533	9.397255605
534	9.394393963
535	9.384712642
536	9.38108848
537	9.362406366
538	9.34838317
539	9.336426022
540	9.32924329
541	9.314018191
542	9.311239836
543	9.299046347
544	9.289811487
545	9.28023669
546	9.262651038
547	9.245619243
548	9.22907899
549	9.218325468
550	9.207771657
551	9.196635534
552	9.188205218
553	9.185414956
554	9.179923264
555	9.169878864
556	9.163571495
557	9.153090726
558	9.142394957
559	9.129048942
560	9.119683801
561	9.115108768
562	9.107990736
563	9.098931063
564	9.094044391
565	9.09105623
566	9.07245899
567	9.06704959
568	9.051427035
569	9.043214507
570	9.033983575
571	9.018886093
572	9.016499643
573	9.004098447
574	8.997293486
575	8.988663904
576	8.98408569
577	8.976898746
578	8.974040714
579	8.97011237
580	8.967175875
581	8.963092703
582	8.960030676
583	8.95015287
584	8.947535773
585	8.944992141
586	8.932730402
587	8.921268853
588	8.911039048
589	8.904650646
590	8.896694158
591	8.892960307
592	8.88808303
593	8.885604556
594	8.879985327
595	8.87114855
596	8.863826179
597	8.856393318
598	8.849183305
599	8.841681185
600	8.834617739
601	8.821546099
602	8.81872724
603	8.810095834
604	8.805538067
605	8.800967559
606	8.790740092
607	8.784800193
608	8.779089734
609	8.77292799
610	8.760557851
611	8.758129635
612	8.753697356
613	8.749658767
614	8.745014156
615	8.731303245
616	8.725979621
617	8.720771837
618	8.710640878
619	8.708336309
620	8.705995251
621	8.697242013
622	8.68888064
623	8.680764258
624	8.676680298
625	8.674247013
626	8.666986838
627	8.659006722
628	8.652199398
629	8.642327616
630	8.639208597
631	8.634725906
632	8.627334208
633	8.616428597
634	8.605094149
635	8.601054744
636	8.598163343
637	8.589515974
638	8.583904223
639	8.579991813
640	8.57215092
641	8.568508445
642	8.560364173
643	8.552282072
644	8.545520141
645	8.537308208
646	8.536406946
647	8.530006961
648	8.527183703
649	8.519666169
650	8.512635163
651	8.507514002
652	8.496616448
653	8.493762154
654	8.48286978
655	8.466354152
656	8.46173169
657	8.459013848
658	8.452334999
659	8.446565388
660	8.444587918
661	8.440984089
662	8.431394184
663	8.422726884
664	8.418536736
665	8.416611839
666	8.414498857
667	8.412344241
668	8.399849211
669	8.398305303
670	8.395712537
671	8.393613001
672	8.384086408
673	8.373825347
674	8.37150592
675	8.367277303
676	8.357546402
677	8.352031455
678	8.348803116
679	8.344856814
680	8.340198694
681	8.330874194
682	8.328806283
683	8.318538654
684	8.314772435
685	8.309138394
686	8.300649913
687	8.291700172
688	8.287775456
689	8.2844486
690	8.274741369
691	8.273007416
692	8.271411991
693	8.266122827
694	8.263318238
695	8.257493183
696	8.245336699
697	8.241297142
698	8.23689373
699	8.231607685
